Row,Title,Author,Year,Publisher,Collection
368,Bread Upon the Waters; A History of United States Grain Exports,Harry Fornari,1973,Auroa,MissRiver
307,Chesapeake Landfalls,Alexander Crosby Brown,1974,Norfolk County Historical Soci,Shipping
159,The Port of Brownsville a Maritime history of the Rio Grande Valley,Henry and Ferguson,1976,"Springman, King Press",Shipping
271,Have Served The National Cargo Bureau’s First Quarter Century,Mitchel,1977,National Cargo Bureau,Shipping
286,"Directory of Ports, Bulk Liquid Terminals, Grain Elevators, and Bulk Handling Fa","TTT Ship Agencies, Inc",1981,"TTT Ship Agencies, Inc.",Shipping
145,Wallenius Lines 1934-1984: glimpses from the history of Wallenius Lines on the [,,1984,Wallenius Lines,Shipping
72,"Ships, ports, and pilots: a history of the piloting profession",Roger Clancy,1984,McFarland,Shipping; Logistics > Ports
364,James W. Porch and the Port of New Orleans,John Wilds,1984,James Porch Schwartz,MissRiver
574,Texas,James A. Michener,1985,Secker & Warburg,Historical; Shipping
156,"The story of P & O, the Peninsular and Oriental Steam Navigation Company",David J. Howarth; Stephen Howarth; Penin,1986,Weidenfeld and Nicolson,Shipping
176,Texas forgotten ports,Keith Guthrie,1988,Eakin Press,Shipping
622,The U.S. Customs Service: a bicentennial history,Carl E. Prince; Mollie Keller,1989,"Department of the Treasury, U.",Customs
561,"Workers on the waterfront: seamen, longshoremen, and unionism in the 1930s",Bruce Nelson,1990,University of Illinois Press,Historical; Shipping
320,Where the river runs deep: the story of a Mississippi River pilot,Joy J. Jackson,1993,Louisiana State University Pre,MissRiver
144,"Wilh. Wilhelmsen, 1861-1994",B°ard Kolltveit; Michael Crowdy; Hans Ch,1994,World Ship Society,Shipping
615,"A history of Greek-owned shipping: the making of an international tramp fleet, 1",Gelina Harlaftis,1996,Informa Law from Routledge,Historical; Shipping
209,Sailing on Friday: the perilous voyage of America's merchant marine,John A. Butler,1997,Brassey's,Shipping
579,Seaports of the South: a journey,Louis D. Rubin; John F. Harrington,1998,Longstreet Press,Historical; Shipping
335,Rising Tide: The Great Mississippi Flood of 1927 and How It Changed America,John M. Barry,1998,Simon & Schuster,MissRiver
573,The Abandoned Ocean: a History of United States Maritime Policy,Andrew Gibson; Arthur Donovan,2000,University of South Carolina P,Historical; Shipping
168,The Houston Pilots silent servants of progress,Francys Trimble for the Houston Pilots,2004,Houston Pilots,Shipping
170,The forgotten heroes: the heroic story of the United States Merchant Marine,Brian Herbert,2004,Forge,Shipping
668,Making steel: Sparrows Point and the rise and ruin of American industrial might,Mark Reutter,2004,University of Illinois Press,Cargo > SteelMetals
613,Admiralty and maritime laws in the Mediterranean Sea (ca. 800-1050): the Kitāb A,Hassan Salih Khalilieh; Hassan Salih Kha,2006,Brill,Historical; Shipping
570,"The Southern Pacific, 1901-1985",Donovan L. Hofsommer,2009,Texas A & M Univ Pr,Historical; Shipping
589,New York longshoremen: class and power on the docks,William J. Mello,2010,University Press of Florida,Historical; Shipping
567,Tramp Ships: an illustrated history,Roy Fenton,2013,Seaforth,Historical; Shipping
577,Sheer will: the story of the Port of Houston and the Houston Ship Channel,David H. Falloure,2014,publisher not identified,Historical; Shipping
371,"Avondale: a model for success, the story of a great American shipyard, 1938-1999",René Pierre Meric; Philip J. Meric,2015,Philip J. Meric Consulting,MissRiver
370,Beyond control: the Mississippi River's new channel to the Gulf of Mexico,James F. Barnett,2017,University Press of Mississipp,MissRiver
329,"The Industrial Canal and Inner Harbor of New Orleans: History, Description and E",Thomas Ewing Dabney,2019,Good Press,MissRiver
323,They called us river rats: the last batture settlement of New Orleans,Macon Fry,2021,University Press of Mississipp,MissRiver
90,Commercial Management in Shipping,Don L. Dykstra,2005,Nautical Institute,Shipping; KeyTexts
441,Circuity of Rail Carload Freight,United States Interstate Commerce Commis,1968,U.S. Government Printing Offic,Logistics > Rail
319,Barge Operations on the Mississippi River: Hearing Before the Subcommittee on Me,United States Congress Senate Committee ,1974,U.S. Government Printing Offic,MissRiver; Transport Econometrics > River_Econ
137,"Carload Waybill Statistics: Territorial distribution, traffic, and revenue by co",,1975,U.S. Department of Transportat,Shipping > Chartering
118,Ship Chartering Alternatives for Grain-exporting Cooperatives,Donald Everett Hirsch,1981,U.S. Department of Agriculture,Shipping > Chartering
56,Economics of shipping practice and management,Alan E. Branch,1982,Chapman and Hall,Transport Econometrics
2,Quantitative methods in maritime economics. 2nd ed,J. J. Evans; P. B. Marlow,1990,Fairplay Publications,Transport Econometrics; Transport Econometrics > River_Econ
33,Running costs,John M. Downard,1994,Fairplay Publications,Transport Econometrics
41,Maritime Economics,Martin Stopford,1995,Informa Law from Routledge,Transport Econometrics
40,Maritime economics: management and marketing,Alan E. Branch,1998,S. Thornes,Transport Econometrics
20,The regionalization of the world economy,Jeffrey A. Frankel,1998,University of Chicago Press,Transport Econometrics
54,Finance of International Trade,Eric Bishop,2004,Elsevier,Transport Econometrics
48,Handbook of quantitative supply chain analysis: modeling in the e-business era,David Simchi-Levi; Narendra Agrawal,2004,Kluwer Acad. Publ,Transport Econometrics
28,Shipping Economics,Kevin Cullinane,2005,Elsevier,Transport Econometrics
52,Freight transportation costs and the thickening of the US–Mexico border,A. G. Walke; T. M. Fullerton,2014,,Transport Econometrics
457,Port Capacity Evaluation Formula for General Cargo,Nam-kyu Park; Dae-gwun Yoon; Sang-kook P,2014,,Logistics > Ports
478,Inland-Waterways-and-the-Global-Supply-Chain,,2007,Adobe PDF Library 7.0,Logistics > Barge
725,Cargo Work for Ships Officers,Capt Errol Fernandes,2014,,Cargo
206,"Ship Agency. A Guide to Tramp Ship Agency Practice - Marygrace Collins, Kenneth ",,2013,,Shipping
37,Port Economics,Wayne Kenneth Talley,2009,Informa Law from Routledge,Transport Econometrics
29,Shipping Derivatives and Risk Management,A. Alizadeh; N. Nomikos,2009,Palgrave Macmillan,Transport Econometrics
44,Infrastructure finance: the business of infrastructure for a sustainable future,Neil S. Grigg,2010,John Wiley & Sons,Transport Econometrics
432,Integrated operations planning and revenue management for rail freight transport,Benoit Crevier; Jean-François Cordeau; G,2012,,Logistics > Rail
571,The shipping man: adventures in ship finance,Matthew McCleery,2011,Marine Money International,Historical; Shipping
438,"Economics, Service, and Capacity in the Freight Railroad Industry: Hearing Befor",United States Congress Senate Committee ,2012,U.S. Government Printing Offic,Logistics > Rail
39,Methodological Options and Data Sources for the Development of Long-Distance Pas,Lei Zhang; Frank Southworth; Chenfeng Xi,2012,,Transport Econometrics
24,The Blackwell companion to maritime economics,Wayne Kenneth Talley,2012,Wiley-Blackwell,Transport Econometrics
19,The World’s Key Industry: History and Economics of International Shipping,Tzelina Charlautē; Stig Tenold; Jesús Ma,2012,Palgrave Macmillan,Transport Econometrics
481,"Work systems: the methods, measurement and management of work",Mikell P. Groover,2014,Pearson,Logistics
68,Cloud Computing for Logistics,Michael Ten Hompel; Jakob Rehof; Oliver ,2015,Springer,Transport Econometrics
3,Quantitative Approaches in Logistics and Supply Chain Management: Proceedings of,Hans-Jürgen Sebastian; Philip Kaminsky; ,2015,Springer,Transport Econometrics; Transport Econometrics > River_Econ
30,Ship Finance 2015,,2015,Law Business Research Ltd,Transport Econometrics
23,The economics of sea transport and international trade,Institute of Chartered Shipbrokers,2015,Institute of Chartered Shipbro,Transport Econometrics
9,Algorithms for Data Science,Brian Steele; John Chandler; Swarna Redd,2016,Springer,Transport Econometrics; Cargo > SteelMetals; Transport Econometrics > River_Econ
67,Competing on Supply Chain Quality: A Network Economics Perspective,Anna Nagurney; Dong Li,2016,Springer,Transport Econometrics
22,The International Handbook of Shipping Finance: Theory and Practice,Manolis G. Kavussanos; Ilias D. Visvikis,2016,Palgrave Macmillan,Transport Econometrics
46,"Information Technology and Intelligent Transportation Systems: Volume 1, Proceed",Valentina Emilia Balas; Lakhmi C. Jain; ,2017,Springer,Transport Econometrics
45,"Information Technology and Intelligent Transportation Systems: Volume 2, Proceed",Valentina Emilia Balas; Lakhmi C. Jain; ,2017,Springer,Transport Econometrics
59,Economic Growth And Information Technology: A Note,Tarek H. Selim,2011,,Transport Econometrics
21,The Puzzling Persistence of the Distance Effect on Bilateral Trade,Anne-Célia Disdier; Keith Head,2008,,Transport Econometrics
63,"Data analytics: concepts, techniques and applications",Mohiuddin Ahmed; Al-Sakib Khan Pathan,2019,"CRC Press, Taylor & Francis Gr",Transport Econometrics
