Row,Title,Author,Year,Publisher,Collection
695,Advances in Ironmaking and Steelmaking Processes,Pasquale Cavaliere,2023,MDPI - Multidisciplinary Digit,Cargo > Steel; Cargo > SteelMetals
99,Report Writing for Marine Surveyors,Mike Wall; Llewellyn Bankes-Hughes,2010,Petrospot,Shipping; Cargo > Stowage
461,Multi-hazard risk to global port infrastructure and resulting trade and logistic,Jasper Verschuur,2023,nature.com,Logistics > Ports
226,Miller's marine war risks,Oliver Caplin; Michael D. Miller; James ,2020,Informa Law from Routledge,Shipping
227,Miller's law of freight loss and damage claims,John McKnight Miller; Richard R. Sigmon,1974,W.C. Brown Co.,Shipping
236,Maritime liabilities in a global and regional context,Swansea University; Baris Soyer; Andrew ,2019,Informa Law from Routledge,Shipping
559,BES Chartering Shipping Terms (N.Lopez 1992),,1992,,KeyTexts; Shipping > Chartering
240,"Marine Salvage, the unforgiving business of no cure no py",Gores,1971,Double Day & Co,Shipping
239,"Maritime Accidents What Went Wrong? - Edward T. Gates [1989, PDF] › Marine Track",,1989,,Shipping
242,Marine insurance law,Özlem Gürses,2017,Informa Law from Routledge,Shipping
245,Marine cargo insurance,John Dunt,2009,Informa Law from Routledge,Shipping
256,Law of marine insurance and average,Joseph Arnould; Jonathan Gilman; Mark Te,2018,Sweet & Maxwell,Shipping
257,Law of Marine Insurance,Susan Hodges,1996,Cavendish Pub,Shipping
265,international cargo insurance,John Dunt,2013,Informa Law from Routledge,Shipping
79,General average: law and practice,Francis D. Rose,2018,Informa Law from Routledge,Shipping; KeyTexts
84,Enforcement of Maritime Claims,David C. Jackson,2013,Informa Law from Routledge,Shipping; KeyTexts
703,tanker handbook for deck officers,,1976,,Cargo > Oil&Gas
93,Berlingieri of Arrest of Ships,Francesco Berlingieri,2013,Informa Law from Routledge,Shipping; KeyTexts
94,Arnould: Law of Marine Insurance & Average,Jonathan Gilman; Claire Blanchard; Mark ,2019,Sweet & Maxwell,Shipping; KeyTexts
536,Voyage Charters,Julian Cooke,2014,Informa Law from Routledge,KeyTexts; Shipping > Chartering
153,Time for Loading and Unloading Ships,Hugo Tiberg,1957,"Sir Issac Pitman & Sons,. Oslo",Shipping
537,Time charters. 2nd ed,M. Wilford; T. Coghlin; N. J. Healy; J. ,1982,Informa Law from Routledge,KeyTexts; Shipping > Chartering
538,The shipbroker's working knowledge: Dry cargo chartering in practice,Tsoudis,2021,Akakia Publications,KeyTexts; Shipping > Chartering
109,The mariner's guide to dry time charterparties,Jeremy Miles; Katherine Birchall; Peter ,2005,North of England P&I Associati,Shipping > Chartering
539,The Evolving Law and Practice of Voyage Charterparties,Rhidian Thomas,2009,Informa Law from Routledge,KeyTexts; Shipping > Chartering
377,The essential guide to chartering and the dry freight market,Nick Collins,2000,Clarkson Research Studies,Logistics; KeyTexts; Shipping > Chartering
540,Summerskill; Laytime,Simon Baughen; Michael Brynmôr. Summersk,2022,Sweet & Maxwell,KeyTexts; Shipping > Chartering
541,Shipbroking and chartering practice,Lars Gorton; Rolf Ihre; Arne Sandevärn; ,1995,Informa Law from Routledge,KeyTexts; Shipping > Chartering
542,Scrutton on Charter Parties and Bills of Lading,Scrutton,2020,Sweet & Maxwell,KeyTexts; Shipping > Chartering
544,Schofield; Laytime & Demurrage,,2000,Informa Law from Routledge,KeyTexts; Shipping > Chartering
546,Laytime Calculating,William V. Packard,1983,Fairplay Publications,KeyTexts; Shipping > Chartering
547,Davies; Commencement of Laytime,Donald Davies,2013,Informa Law from Routledge,KeyTexts; Shipping > Chartering
568,Training for the Steamship Business,MacElwee,1926,,Historical; Shipping
548,"Charterparties: law, practice and emerging legal issues",Swansea University; Bari? Soyer; A. M. T,2018,Informa Law from Routledge,KeyTexts; Shipping > Chartering
550,Chartering Manual: by practitioniers ; ...from the basic principles of trading a,Thomas J. Pagonis; Nick Pentheroudakis,2019,"Practitioners' Book Avenue, LL",KeyTexts; Shipping > Chartering
551,Chartering and Shipping Terms Vol 3 Timesheet Supplement M-Z,J. Bes,1966,Barker & Howard,KeyTexts; Shipping > Chartering
552,Chartering and Shipping Terms Vol 2 Timesheet Supplement A-L,J. Bes,1966,Barker & Howard,KeyTexts; Shipping > Chartering
553,Chartering and Shipping Terms Vol 1 Pratical Guide,J. Bes,1966,Barker & Howard,KeyTexts; Shipping > Chartering
136,Charterers Terms & Conditions 2025,UK P&I,2025,UK P&I,Shipping > Chartering
555,C.I.F. and F.O.B. contracts,Filippo Lorenzon; Yvonne Baatz; Christop,2012,Sweet & Maxwell,KeyTexts; Shipping > Chartering
92,BIMCO Check before fixing 2021,BIMCO,2021,Witherby Publishing Group Ltd,Shipping; KeyTexts
556,Bills of lading incorporating charterparties,Melis Özdel,2015,Hart Publishing,KeyTexts; Shipping > Chartering
456,Port Development,MacElwee,1926,,Logistics > Ports
139,Bes' chartering and shipping terms,Norman J. Lopez; J. Bes,1992,Barker & Howard,Shipping > Chartering
560,Bareboat Charters,Mark Davis,2005,Informa Law from Routledge,KeyTexts; Shipping > Chartering
143,A Layman's Guide to Laytime,Erwin de Zwarte Arklow,2007,Self,Shipping > Chartering
696,Trading and price discovery for crude oils: growth and development of internatio,Adi Imsirovic,2021,Springer,Cargo > Oil&Gas
697,Tankers: an introduction to the Transport of Oil by sea,Philippe Valois,1997,Witherby Publishing Group Ltd,Cargo > Oil&Gas
698,"Tankerman's Handbook, a guide to loading and discharging oil cargoes",Wooler,1966,Sweetman,Cargo > Oil&Gas
700,"Tanker Practice: The Construction, Operation and Maintenance of Tankers",G. A. B. King,1976,Stanford Maritime Ltd,Cargo > Oil&Gas
701,Tanker operations: a handbook for the ship's officer,G. S. Marton,1984,Cornell Maritime Press,Cargo > Oil&Gas
702,Tanker Operations: a Handbook for the Person-in-charge (PIC),Mark Huber; G. S. Marton,2010,Schiffer,Cargo > Oil&Gas
366,Facilities of the Port of New Orleans,Walter Parker,1919,,MissRiver
640,Stability and trim for the ship's officer,William E. George,2005,Cornell Maritime Press,Cargo > Stowage
704,"Ship to Ship Transfer Guide: for Petroleum, Chemicals and Liquefied Gases",Chemical Distribution Institute; Interna,2013,Witherby Publishing Group Ltd,Cargo > Oil&Gas
642,Practical Stevedoring,CAPT. R Pritchard,1963,"Brown, Son & Ferguson",Cargo > Stowage
643,Practical Loading of Merchant Vessels,Tom Abbenhues,2017,STC Publishing,Cargo > Stowage
647,Modern Ship Stowage; including methods of handling cargo at Ocean Terminals,Jos Leeming,1968,Edward R. Sweetman Co.,Cargo > Stowage
648,Marine cargo operations: a guide to stowage,Robert J. Meurn; Charles L. Sauerbier,2004,Cornell Maritime Press,Cargo > Stowage
709,ISGOTT International safety guide for oil tankers and terminals,International Chamber of Shipping; Oil C,2020,Witherby Publishing Group Ltd,Cargo > Oil&Gas
466,Introduction to marine cargo management,J. Mark Rowbotham,2014,Informa Law from Routledge,Logistics > Ports
15,Grain Carriage by Sea,Tom Sewell,1999,Informa Law from Routledge,Transport Econometrics; Cargo > Grain
362,Mechanical Equipment Used in the Port of New Orleans,William Von Phul,1916,,MissRiver
635,Cargo work for maritime operations,David J. House,2005,Elsevier,Cargo; KeyTexts
476,Break Bulk and Cargo Management,J. Mark Rowbotham,2022,Informa Law from Routledge,Logistics > Ports
175,The Business of Shipping,James J. Buckley; Lane C. Kendall,2008,Cornell Maritime Press,Shipping
328,"The Industries of New Orleans: Her Rank, Resources, Advantages, Trade, Commerce ",Morrison,1885,,MissRiver
26,Shipping strategy: innovating for success,Peter Lorange,2009,Cambridge University Press,Transport Econometrics
193,Shipping Industrial Structure.,Ladi Utieyione,2015,Xlibris,Shipping
194,Shipping company strategies: global management under turbulent conditions,Peter Lorange,2008,Emerald,Shipping
195,"Shipping business unwrapped: illusion, bias and fallacy in the shipping business",Okan Duru,2019,Informa Law from Routledge,Shipping
384,Shipping and Logistics Management,Y. H. Venus Lun; Kee-hung Lai; T. C. E. ,2023,Springer,Logistics > SupplyChain
198,Shipmaster's handbook on ship's business. 2nd ed,J. R. Aragon,1992,Cornell Maritime Press,Shipping
201,Ship sale and purchase,Iain S. Goldrein; Matthew Hannaford; Pau,2012,Informa Law from Routledge,Shipping
202,Ship Registration: Law and Practice,Richard M. F. Coles; Edward Watt,2009,Informa Law from Routledge,Shipping
203,Ship management: theory and practice,Pengfei Zhang; Lijun Tang,2022,Informa Law from Routledge,Shipping
204,"Ship knowledge: ship design, construction and operation",Klaas van Dokkum,2020,DOKMAR,Shipping
31,"Ship building, sale, and finance",Barış Soyer; Andrew Tettenborn,2016,Informa Law from Routledge,Transport Econometrics
214,Professional ship management: marketing and strategy,Photis M. Panayides,2001,Ashgate,Shipping
365,Illustrated visitors' guide to New Orleans,Waldo,1879,,MissRiver
386,Maritime Transport Shipping & Logistics Operations,Ulla Tapaninen,2020,Kogan Page,Logistics > SupplyChain
234,Maritime Strategy and Sea Denial: Theory and Practice,Milan Vego,2018,Informa Law from Routledge,Shipping
388,Maritime Professions: Issues and Perspectives,Agnieszka Kołodziej-Durnaś; Frank Sowa; ,2023,BRILL,Logistics > SupplyChain
392,Maritime Infrastructure for Energy Management and Emission Reduction Using Digit,Mahmoud Elsisi; Noorman Rinanto; Chun-Li,2025,Springer Nature Singapore,Logistics > SupplyChain
247,Managing ships,John M. Downard,1990,Fairplay Publications,Shipping
248,Management of Shipping Companies,Ioannis Theotokas,2018,Informa Law from Routledge,Shipping
597,Management innovators: the people and ideas that have shaped modern business,Daniel A. Wren; Ronald G. Greenwood,1998,Oxford University Press,Historical; Shipping
260,Introduction to ship operations and onboard safety,Alexander Arnfinn Olsen,2022,Informa Law from Routledge,Shipping
405,Innovations in shipping,Peter Lorange,2020,Cambridge University Press,Logistics > SupplyChain
78,Handbook of Maritime Security,Anna Petrig,2022,Informa Law from Routledge,Shipping; KeyTexts
273,Handbook for Marine Radio Communication,Lees & Williamson,2004,LLP,Shipping
274,Handbook for marine radio communication,Graham D. Lees; William G. Williamson,2015,Informa Law from Routledge,Shipping
515,"Fundamentals of risk management: understanding, evaluating and implementing effe",Paul Hopkin,2017,Kogan Page,Logistics
85,Elements of Shipping,Alan E. Branch,2007,Informa Law from Routledge,Shipping; KeyTexts
73,Draught surveying: a manual for marine surveyors and ship's officers,W J. Dibble; P. Mitchell,1999,Mid-C Consultancy,Shipping; KeyTexts; Cargo > Stowage
88,Core principles of maritime navigation,Alexander Arnfinn Olsen,2023,Informa Law from Routledge,Shipping; KeyTexts
89,Commercial practice in bunkering,Nigel Draffin; Goris Vermeulen,2011,Petrospot Ltd,Shipping; KeyTexts
306,Chinese grand strategy and maritime power,Thomas M. Kane,2002,Informa Law from Routledge,Shipping
74,Bulk Carrier Pratice,Jack Isbester,2023,The Nautical Institute,Shipping; KeyTexts; Cargo > Stowage
151,Transport documents in carriage of goods by sea: international law and practice,Časlav Pejović,2020,Informa Law from Routledge,Shipping
152,Traffic management,Kenneth U. Flood,1975,Brown,Shipping
169,The Hamburg Rules and the Rotterdam Rules,Indira Carr; Peter Stone,2017,Informa Law from Routledge,Shipping
230,Mastering import & export management,Thomas A. Cook; Kelly Raia,2017,AMACOM,Shipping
237,Maritime letters of indemnity,Felipe de Arizon; David Semark,2014,Informa Law from Routledge,Shipping
75,Letters of indemnity: a guide to good practice,Stephen Mills; Ben Roberts; North of Eng,2017,The North of England P & I Ass,Shipping; KeyTexts
76,International trade and carriage of goods,Bariş Soyer; A. M. Tettenborn,2017,Informa Law from Routledge,Shipping; KeyTexts
266,Incoterms® 2010: ICC rules for the use of domestic and international trade terms,International Chamber of Commerce,2010,Internat. Chamber of Commerce,Shipping
80,Freight Forwarding and Multi Modal Transport Contracts,David Glass,2013,Informa Law from Routledge,Shipping; KeyTexts
81,"Export-Import; Theory, Practices, and Procedures",Belay Seyoum,2014,Informa Law from Routledge,Shipping; KeyTexts
82,Export-Import; Procedures and Documentation,Donna L. Bade,2022,"HarperCollins Leadership, an i",Shipping; KeyTexts
83,Export Practice and Management,Alan E. Branch,2006,Thomson Learning,Shipping; KeyTexts
86,"Drafting and negotiating international commercial contracts: a practical guide, ",Fabio Bortolotti,2017,"ICC, International chamber of ",Shipping; KeyTexts
129,Delivery of goods under bills of lading,Anders Møllmann,2017,Informa Law from Routledge,Shipping > Chartering
130,Delivery of Cargo without original bills of lading,UK P&I Club,2017,UK P&I,Shipping > Chartering
311,Cases & materials on the carriage of goods by sea,Martin Dockray; Katherine Reece Thomas,2004,Cavendish Pub,Shipping
554,Carver on bills of lading,Guenter H. Treitel; Francis M. B. Reynol,2005,Sweet & Maxwell,KeyTexts; Shipping > Chartering
557,Bills of lading in export trade,Charles Debattista,2009,Tottel,KeyTexts; Shipping > Chartering
138,Bills of Lading and Bankers Documentary Credits,Paul Todd,2013,Informa Law from Routledge,Shipping > Chartering
558,Bills of lading,Richard Aikens; Richard Lord; Michael D.,2016,Informa Law from Routledge,KeyTexts; Shipping > Chartering
